,o_0_lb,o_0_ub,o_1_lb,o_1_ub,o_2_lb,o_2_ub,o_3_lb,o_3_ub,o_4_lb,o_4_ub,o_5_lb,o_5_ub,o_6_lb,o_6_ub,o_7_lb,o_7_ub,o_8_lb,o_8_ub,o_9_lb,o_9_ub
0,-13.738881027768974,3.2365679458724026,-10.309003194660054,3.9320781554140387,-15.406914650772277,4.112369205104905,-19.040674021132094,-1.1422051550514984,-20.36570573782958,3.790576703405708,-17.562405211009736,2.9694341460728673,-14.939726432585504,4.703243001724826,-17.973700649411487,5.306928595329477,-10.167940726508812,5.718046048535591,-15.372858516897177,-1.1122947385020658
1,-14.511027509248969,3.2365679458724057,-10.309003194660054,3.9320781554140294,-15.900592241057534,4.112369205104899,-19.040674021132094,-0.6126776941274639,-20.365705737829575,3.790576703405713,-17.562405211009736,3.206601071473538,-15.073393033305692,4.703243001724826,-17.97370064941149,5.505825134179684,-10.291082103921797,5.718046048535591,-15.372858516897177,-0.63158155902481
2,-13.743281462868312,3.2655513108936645,-10.764051979516003,3.9320781554140294,-15.406914650772277,4.950105644056865,-19.5082220119899,-1.1422051550514953,-21.864521559472873,3.790576703405713,-17.828370260960376,3.300916905958662,-15.024830743523768,4.703243001724826,-19.223156330761718,5.306928595329482,-10.361240878260567,5.718046048535593,-16.85434446564871,-1.1122947385020658
3,-13.797117180231924,3.4228096095158973,-10.415664402775514,4.834388492633683,-15.79303143557039,4.1817694736097,-19.642916768237086,-1.0315680538147065,-20.378577800874513,5.1244431710957485,-17.565615125666998,3.6674451494577376,-15.058493293795257,5.426007656574081,-18.951488670029644,5.314682076176732,-10.176828456058404,6.12711407471859,-16.346590937131797,-0.9822514343465762
4,-14.182312643363378,3.7856398346530646,-10.600084649393475,4.697077635694535,-15.686531917849303,4.773827321603463,-20.301164895049464,-0.5598179861178338,-20.56431656528112,5.162425196255485,-18.779380423980154,3.278847380495065,-14.95328559275191,5.6130002765990366,-18.375784025177794,6.110951442726324,-10.26086370029822,6.616648608232587,-16.98908201902084,-1.098693806086553
5,-14.003506610965813,4.295345960040421,-11.36072746702754,4.199351824000689,-15.769730567832529,4.91131551489547,-19.99581337111527,-0.49071937667846094,-20.369274246306453,4.73364239286368,-18.795448883222452,3.06021100843835,-15.369241086223969,5.20019079157403,-18.02192640323119,6.268457381437003,-10.351805777552121,6.1370012084979,-16.136142482719247,-0.4354640945330386
6,-16.53023320737067,3.2365679458724026,-10.704713624999357,4.462295129867483,-16.826005411296784,6.050556527137806,-19.170319025377278,0.8887185063273573,-21.85688563936117,3.7905767034057085,-18.552443445556555,4.09888733869623,-16.82369737494575,4.841923636148123,-18.2022271989275,6.5790201497183585,-10.423727144245994,6.42940862745451,-16.136546283036825,0.27606437048751
7,-13.738881027768983,3.4101411000709927,-10.30900319466006,3.932078155414028,-15.406914650772276,4.112369205104905,-19.04847149576527,-1.1422051550514953,-20.365705737829572,4.551084407379733,-17.562405211009736,2.9694341460728735,-14.93972643258551,4.703243001724826,-17.97370064941149,5.308998397789267,-10.167940726508816,5.718046048535593,-15.372858516897177,-1.1122947385020625
8,-13.738881027768981,3.2365679458724035,-10.30900319466006,3.932078155414029,-15.536947850829872,4.112369205104911,-19.040674021132094,-1.142205155051487,-20.365705737829582,4.218276465536378,-17.562405211009736,2.9694341460728717,-14.93972643258551,4.703243001724826,-17.973700649411494,5.306928595329485,-10.167940726508816,5.7180460485355935,-15.372858516897187,-1.1122947385020625
9,-13.738881027768981,3.296417293928207,-10.315695853973185,3.9320781554140325,-15.406914650772288,4.1123692051049066,-19.04067402113209,-1.1422051550514887,-20.402565157025066,3.7905767034057094,-17.562405211009736,2.9694341460728717,-15.00507068731485,4.703243001724826,-18.0916335460098,5.306928595329482,-10.167940726508816,5.7180460485355935,-15.372858516897184,-1.1122947385020625
10,-15.78547925137221,3.8887302733610705,-12.735466686269204,4.262726809885265,-16.279902733254996,6.090753788739539,-19.574107368012623,0.6468725359359089,-22.29383683495814,3.8323182577984585,-19.20472875553691,3.3619755563826743,-17.094330839299193,4.945868960145711,-18.664402207138384,7.599814872301973,-10.508069578540644,6.719035634309153,-16.296084524964133,0.8543138059590756
11,-13.9778658399609,3.599647865635422,-10.309003194660058,4.2912464295154376,-15.406914650772277,4.177663168016527,-19.040674021132094,-0.45814913635125043,-20.569507270830623,5.205611052392625,-18.30588972005093,3.106195726465807,-15.325878369907652,4.958449473180073,-18.03503198791072,6.182397674995029,-10.188265468695862,6.252399672598909,-15.70313083933457,-0.9570781535738657
